original_name,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Number of College Seasons,Number of College Teams,Current_Contract,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
aaron-gordon,38,38.0,1187.0,189,382,173.0,337.0,16.0,45.0,76,180,102.0,201.0,303,75,34.0,39.0,55.0,90.0,470,1,1,22266182.0,Orlando,Magic,ORL,Arizona,2014,1.0,4.0,4.0
aaron-holiday,101,65.0,3209.0,476,1058,296.0,631.0,180.0,427.0,311,391,48.0,272.0,320,477,126.0,22.0,304.0,271.0,1443,3,1,2019706.0,Indiana,Pacers,IND,California-Los Angeles,2018,1.0,23.0,23.0
aaron-nesmith,46,33.0,1428.0,219,496,100.0,206.0,119.0,290.0,118,143,45.0,200.0,245,58,43.0,30.0,75.0,137.0,675,2,1,5634257.0,Boston,Celtics,BOS,Vanderbilt,2020,1.0,14.0,14.0
aaron-wiggins,96,50.0,2707.0,375,922,203.0,445.0,172.0,477.0,130,169,104.0,341.0,445,150,87.0,36.0,138.0,169.0,1052,3,1,1836096.0,Oklahoma City,Thunder,OKC,Maryland,2021,2.0,25.0,55.0
aj-griffin,39,25.0,935.0,146,296,75.0,137.0,71.0,159.0,42,53,30.0,123.0,153,38,20.0,22.0,25.0,42.0,405,1,1,3712920.0,Atlanta,Hawks,ATL,Duke,2022,1.0,16.0,16.0
al-horford,109,98.0,2798.0,424,724,424.0,720.0,0.0,4.0,275,444,254.0,610.0,864,187,94.0,189.0,173.0,270.0,1123,3,1,10000000.0,Atlanta,Hawks,ATL,Florida,2007,1.0,3.0,3.0
alec-burks,68,67.0,2100.0,423,855,376.0,705.0,47.0,150.0,398,495,149.0,248.0,397,165,76.0,24.0,157.0,163.0,1291,2,1,10489600.0,Utah,Jazz,UTA,Colorado,2011,1.0,12.0,12.0
alex-len,60,48.0,1470.0,225,418,224.0,409.0,1.0,9.0,132,199,145.0,272.0,417,50,12.0,125.0,93.0,155.0,583,2,1,2019706.0,Phoenix,Suns,PHX,Maryland,2013,1.0,5.0,5.0
andre-drummond,34,30.0,967.0,157,292,157.0,290.0,0.0,2.0,26,88,114.0,143.0,257,15,28.0,92.0,52.0,75.0,340,1,1,3360000.0,Detroit,Pistons,DET,Connecticut,2012,1.0,9.0,9.0
andre-jackson jr.,85,65.0,2267.0,186,435,137.0,268.0,49.0,167.0,85,121,121.0,373.0,494,296,84.0,42.0,156.0,227.0,506,3,1,1119563.0,Orlando,Magic,ORL,Connecticut,2023,2.0,6.0,36.0
andrew-nembhard,262,230.0,8398.0,970,2176,670.0,1302.0,300.0,874.0,376,476,58.0,700.0,758,1382,324.0,22.0,512.0,462.0,2616,4,2,2131905.0,Indiana,Pacers,IND,Gonzaga,2022,2.0,1.0,31.0
andrew-nicholson,123,118.0,3672.0,809,1407,780.0,1330.0,29.0,77.0,456,633,271.0,616.0,887,87,61.0,244.0,296.0,371.0,2103,4,1,2844430.0,Orlando,Magic,ORL,St. Bonaventure,2012,1.0,19.0,19.0
andrew-wiggins,35,35.0,1148.0,189,422,146.0,296.0,43.0,126.0,176,227,76.0,129.0,205,54,41.0,34.0,80.0,94.0,597,1,1,24330357.0,Cleveland,Cavaliers,CLE,Kansas,2014,1.0,1.0,1.0
anthony-black,36,36.0,1255.0,149,329,121.0,236.0,28.0,93.0,134,190,45.0,137.0,182,141,74.0,22.0,109.0,93.0,460,1,1,7245480.0,Orlando,Magic,ORL,Arkansas,2023,1.0,6.0,6.0
anthony-davis,124,115.0,3733.0,603,1435,464.0,988.0,139.0,447.0,300,412,177.0,366.0,543,285,193.0,42.0,248.0,273.0,1645,4,1,40600080.0,New Orleans,Hornets,NOH,Kentucky,2012,1.0,1.0,1.0
anthony-edwards,103,14.0,1446.0,98,279,78.0,209.0,20.0,70.0,56,86,9.0,14.0,137,121,66.0,2.0,80.0,76.0,272,4,1,13534817.0,Minnesota,Timberwolves,MIN,Georgia,2020,1.0,1.0,1.0
ayo-dosunmu,90,90.0,2990.0,569,1210,458.0,888.0,111.0,322.0,255,340,72.0,363.0,435,351,97.0,20.0,246.0,172.0,1504,3,1,6481482.0,Chicago,Bulls,CHI,Illinois,2021,2.0,8.0,38.0
ben-sheppard,124,91.0,3230.0,546,1149,344.0,603.0,202.0,546.0,222,319,88.0,397.0,485,225,126.0,18.0,177.0,245.0,1516,4,1,2537160.0,Indiana,Pacers,IND,Belmont,2023,1.0,26.0,26.0
ben-simmons,33,32.0,1151.0,216,386,215.0,383.0,1.0,3.0,199,297,103.0,285.0,388,158,65.0,27.0,111.0,92.0,632,1,1,37893408.0,Philadelphia,76ers,PHI,Louisiana State,2016,1.0,1.0,1.0
bennedict-mathurin,63,49.0,1851.0,306,671,185.0,355.0,121.0,316.0,202,256,83.0,249.0,332,124,54.0,12.0,96.0,111.0,935,2,1,6916080.0,Indiana,Pacers,IND,Arizona,2022,1.0,6.0,6.0
blake-wesley,35,28.0,1027.0,178,441,124.0,263.0,54.0,178.0,94,143,24.0,105.0,129,84,44.0,2.0,77.0,67.0,504,1,1,2504640.0,San Antonio,Spurs,SAS,Notre Dame,2022,1.0,25.0,25.0
bobby-portis,70,70.0,1994.0,411,782,388.0,719.0,23.0,63.0,202,274,219.0,332.0,551,92,74.0,104.0,97.0,137.0,1047,2,1,11710818.0,Chicago,Bulls,CHI,Arkansas,2015,1.0,22.0,22.0
bol-bol,9,9.0,268.0,74,132,61.0,107.0,13.0,25.0,28,37,19.0,67.0,86,9,7.0,24.0,18.0,15.0,189,1,1,2019706.0,Miami,Heat,MIA,Oregon,2019,2.0,14.0,44.0
